ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-28 04:20:25,BE_temporary__retrain_p16_last_window_wb16_fit__042025,6,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.906,0.5767214827356401,0.9524291497975709,0.5566037735849056,,,0.008001089096069336,0.015625,195.28591435978427,
2026-01-28 04:20:25,BE_temporary__retrain_p16_last_window_wb16_fit__042025,7,books,group,500,0.896,"{""1"": 448, ""0"": 52}",0.904,0.6106677048861203,0.7771898883009994,0.5809581043956044,,,0.009505033493041992,0.015625,164.38658539644317,
2026-01-28 04:20:25,BE_temporary__retrain_p16_last_window_wb16_fit__042025,8,books,group,500,0.89,"{""1"": 445, ""0"": 55}",0.898,0.5548106635939875,0.8660593792172739,0.5443309499489275,,,0.007995843887329102,0.015625,195.41402033574857,
2026-01-28 04:20:25,BE_temporary__retrain_p16_last_window_wb16_fit__042025,9,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.906,0.589727474292498,0.8907520325203252,0.5649191676163944,,,0.006998300552368164,0.015625,223.26849044390693,
2026-01-28 04:20:25,BE_temporary__retrain_p16_last_window_wb16_fit__042025,10,books,group,500,0.884,"{""1"": 442, ""0"": 58}",0.892,0.5620011679968854,0.8221544715447154,0.5494616944921205,,,0.005387067794799805,0.0,0.0,
2026-01-28 04:20:25,BE_temporary__retrain_p16_last_window_wb16_fit__042025,11,books,group,500,0.882,"{""1"": 441, ""0"": 59}",0.896,0.5897500631153749,0.892509617560534,0.5666628233214189,,,0.008359670639038086,0.015625,186.90927758605937,
2026-01-28 04:20:25,BE_temporary__retrain_p16_last_window_wb16_fit__042025,12,books,group,500,0.914,"{""1"": 457, ""0"": 43}",0.916,0.5214656822532131,0.7920858484238766,0.5221617220497685,,,0.008851051330566406,0.015625,176.53270121754122,
2026-01-28 04:20:25,BE_temporary__retrain_p16_last_window_wb16_fit__042025,13,electronics,group,500,0.81,"{""0"": 95, ""1"": 405}",0.814,0.4878798224650051,0.7412280701754386,0.5185834957764782,,,0.008195638656616211,0.0,0.0,
2026-01-28 04:20:25,BE_temporary__retrain_p16_last_window_wb16_fit__042025,14,electronics,group,500,0.782,"{""1"": 391, ""0"": 109}",0.788,0.4831486971446403,0.7516661837148653,0.5203782350594806,,,0.0055620670318603516,0.015625,280.92074242359297,
2026-01-28 04:20:25,BE_temporary__retrain_p16_last_window_wb16_fit__042025,15,electronics,group,500,0.804,"{""1"": 402, ""0"": 98}",0.81,0.48588065937158376,0.805050505050505,0.5191643821707788,,,0.005254030227661133,0.0,0.0,
