ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-29 02:52:41,cfpb_company_sudden__retrain_p16_last_window_wb16_update__025239,11,A,group,500,,"{""0"": 237, ""5"": 142, ""1"": 34, ""2"": 51, ""4"": 33, ""3"": 3}",0.674,0.4345246293300844,0.523234230442001,0.40422914980348934,,,0.02202296257019043,0.015625,70.9486743674963,
2026-01-29 02:52:41,cfpb_company_sudden__retrain_p16_last_window_wb16_update__025239,12,A,group,500,,"{""2"": 49, ""0"": 234, ""4"": 32, ""5"": 157, ""1"": 21, ""3"": 7}",0.654,0.40438475678023167,0.5084538695782715,0.3865131131253743,,,0.02301955223083496,0.03125,135.75416101335045,
2026-01-29 02:52:41,cfpb_company_sudden__retrain_p16_last_window_wb16_update__025239,13,A,group,500,,"{""0"": 242, ""5"": 154, ""2"": 42, ""1"": 29, ""4"": 28, ""3"": 5}",0.656,0.37780353068796074,0.46691154342317337,0.35399901387362204,,,0.01802229881286621,0.015625,86.69815189638979,
2026-01-29 02:52:41,cfpb_company_sudden__retrain_p16_last_window_wb16_update__025239,14,A,group,500,,"{""0"": 251, ""5"": 153, ""2"": 44, ""4"": 19, ""1"": 25, ""3"": 8}",0.702,0.4141568812830209,0.4786200382963308,0.3912912586449399,,,0.02002120018005371,0.015625,78.0422744864543,
2026-01-29 02:52:41,cfpb_company_sudden__retrain_p16_last_window_wb16_update__025239,15,A,group,500,,"{""5"": 146, ""0"": 243, ""4"": 36, ""2"": 45, ""1"": 27, ""3"": 3}",0.68,0.4371499085292189,0.545331560726377,0.400505477572956,,,0.022022008895874023,0.015625,70.95174683599122,
2026-01-29 02:52:41,cfpb_company_sudden__retrain_p16_last_window_wb16_update__025239,16,A,group,500,,"{""4"": 33, ""0"": 241, ""5"": 161, ""2"": 38, ""3"": 6, ""1"": 21}",0.66,0.39529029539637955,0.44705840883961495,0.37699609524908384,,,0.026029348373413086,0.03125,120.05678955804899,
2026-01-29 02:52:41,cfpb_company_sudden__retrain_p16_last_window_wb16_update__025239,17,A,group,500,,"{""0"": 250, ""2"": 55, ""1"": 19, ""5"": 139, ""3"": 6, ""4"": 31}",0.664,0.3895221975593677,0.49493372823499265,0.3639681768399141,,,0.017508745193481445,0.015625,89.24111823740077,
2026-01-29 02:52:41,cfpb_company_sudden__retrain_p16_last_window_wb16_update__025239,18,A,group,500,,"{""0"": 260, ""2"": 42, ""5"": 134, ""1"": 32, ""4"": 30, ""3"": 2}",0.718,0.46363713294406367,0.5602475454046201,0.42588328959597616,,,0.022113800048828125,0.015625,70.65723650163878,
2026-01-29 02:52:42,cfpb_company_sudden__retrain_p16_last_window_wb16_update__025239,19,A,group,500,,"{""5"": 130, ""4"": 31, ""0"": 258, ""2"": 46, ""1"": 29, ""3"": 6}",0.676,0.4012823711807747,0.4787424809896721,0.3811018534243756,,,0.02207803726196289,0.03125,141.54337919267402,
2026-01-29 02:52:42,cfpb_company_sudden__retrain_p16_last_window_wb16_update__025239,20,A,group,500,,"{""0"": 255, ""2"": 43, ""5"": 145, ""1"": 26, ""3"": 6, ""4"": 25}",0.69,0.40323705358578416,0.49048297381630723,0.37243524630052294,,,0.022023439407348633,0.015625,70.94713823303346,
