ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-27 18:42:42,huffpost_years__retrain_p8_last_window_wb8_update__184242,7,y2013,group,500,,"{""10"": 188, ""6"": 42, ""2"": 30, ""4"": 61, ""0"": 26, ""5"": 28, ""7"": 21, ""8"": 19, ""1"": 52, ""9"": 19, ""3"": 14}",0.558,0.44384731876531447,0.47076338990411676,0.4379394392621128,,,0.0019989013671875,0.0,0.0,
2026-01-27 18:42:42,huffpost_years__retrain_p8_last_window_wb8_update__184242,8,y2013,group,500,,"{""10"": 185, ""1"": 50, ""3"": 17, ""2"": 39, ""7"": 27, ""0"": 21, ""6"": 39, ""4"": 65, ""5"": 27, ""8"": 12, ""9"": 18}",0.548,0.4333153764062978,0.44663884036483276,0.42570141864259514,,,0.001997232437133789,0.0,0.0,
2026-01-27 18:42:42,huffpost_years__retrain_p8_last_window_wb8_update__184242,9,y2013,group,500,,"{""4"": 76, ""1"": 53, ""6"": 28, ""10"": 215, ""7"": 21, ""8"": 22, ""2"": 31, ""5"": 23, ""9"": 13, ""3"": 8, ""0"": 10}",0.582,0.42998202476457253,0.4558186848189669,0.4374283207038806,,,0.001999378204345703,0.0,0.0,
2026-01-27 18:42:42,huffpost_years__retrain_p8_last_window_wb8_update__184242,10,y2013,group,500,,"{""6"": 43, ""10"": 208, ""5"": 30, ""4"": 69, ""0"": 16, ""1"": 53, ""8"": 17, ""9"": 15, ""2"": 24, ""7"": 19, ""3"": 6}",0.608,0.49127994982888123,0.5112111749665718,0.4908110178270991,,,0.0019974708557128906,0.015625,782.2391978992599,
2026-01-27 18:42:42,huffpost_years__retrain_p8_last_window_wb8_update__184242,11,y2013,group,500,,"{""10"": 192, ""1"": 50, ""9"": 28, ""4"": 63, ""5"": 15, ""6"": 42, ""3"": 13, ""0"": 28, ""7"": 18, ""2"": 32, ""8"": 19}",0.556,0.43928137477613516,0.4631660098178508,0.42488429698956015,,,0.002001047134399414,0.0,0.0,
2026-01-27 18:42:42,huffpost_years__retrain_p8_last_window_wb8_update__184242,12,y2013,group,500,,"{""5"": 30, ""6"": 45, ""4"": 52, ""10"": 209, ""1"": 43, ""9"": 17, ""0"": 15, ""7"": 26, ""3"": 19, ""2"": 33, ""8"": 11}",0.582,0.4450264355247071,0.4781211702438691,0.42798116636045935,,,0.0019991397857666016,0.0,0.0,
2026-01-27 18:42:42,huffpost_years__retrain_p8_last_window_wb8_update__184242,13,y2014,group,500,,"{""0"": 22, ""4"": 106, ""6"": 39, ""5"": 53, ""3"": 25, ""2"": 34, ""10"": 95, ""8"": 35, ""1"": 62, ""7"": 28, ""9"": 1}",0.33,0.2638953715756882,0.3114789998115616,0.2613606201678723,,,0.0020008087158203125,0.015625,780.9342230695901,
2026-01-27 18:42:42,huffpost_years__retrain_p8_last_window_wb8_update__184242,14,y2014,group,500,,"{""0"": 22, ""4"": 110, ""10"": 77, ""8"": 43, ""3"": 36, ""6"": 41, ""7"": 22, ""2"": 36, ""1"": 58, ""5"": 52, ""9"": 3}",0.354,0.30879554081661004,0.35472410174321234,0.37624550336798085,,,0.001996755599975586,0.0,0.0,
2026-01-27 18:42:42,huffpost_years__retrain_p8_last_window_wb8_update__184242,15,y2014,group,500,,"{""2"": 35, ""10"": 89, ""8"": 42, ""5"": 56, ""1"": 71, ""4"": 100, ""3"": 24, ""7"": 19, ""0"": 21, ""6"": 42, ""9"": 1}",0.456,0.38085011881885716,0.3941882374584634,0.3799942215520963,,,0.001999378204345703,0.0,0.0,
2026-01-27 18:42:42,huffpost_years__retrain_p8_last_window_wb8_update__184242,16,y2014,group,500,,"{""8"": 45, ""5"": 44, ""10"": 93, ""2"": 29, ""4"": 101, ""1"": 69, ""7"": 19, ""6"": 61, ""0"": 20, ""3"": 18, ""9"": 1}",0.488,0.4065545956709898,0.44470990674436445,0.3875329809838982,,,0.0020008087158203125,0.015625,780.9342230695901,
