ts,run_id,batch_id,group,step_kind,n,pos_share,label_dist,acc,f1_macro,precision,recall,mix_weights,mix_alloc,wall_pred_sec,cpu_pred_sec,cpu_pred_pct,rss_mb
2026-01-28 04:22:15,BE_temporary__quality_drop_acc_th0.1_bk3_ck2_quality_drop_last_window_wb16_fit__042215,6,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.89,0.6386856039205897,0.6918439716312057,0.6141783799755182,,,0.008001565933227539,0.0,0.0,
2026-01-28 04:22:15,BE_temporary__quality_drop_acc_th0.1_bk3_ck2_quality_drop_last_window_wb16_fit__042215,7,books,group,500,0.896,"{""1"": 448, ""0"": 52}",0.914,0.7348265272141985,0.7794933162103788,0.7055288461538461,,,0.006997585296630859,0.015625,223.2913117546848,
2026-01-28 04:22:15,BE_temporary__quality_drop_acc_th0.1_bk3_ck2_quality_drop_last_window_wb16_fit__042215,8,books,group,500,0.89,"{""1"": 445, ""0"": 55}",0.906,0.7266647281186391,0.7663043478260869,0.7002042900919305,,,0.008920907974243164,0.0,0.0,
2026-01-28 04:22:15,BE_temporary__quality_drop_acc_th0.1_bk3_ck2_quality_drop_last_window_wb16_fit__042215,9,books,group,500,0.894,"{""1"": 447, ""0"": 53}",0.896,0.6546043891811467,0.7182809868950875,0.6258494787049934,,,0.0018107891082763672,0.015625,862.8834759710335,
2026-01-28 04:22:15,BE_temporary__quality_drop_acc_th0.1_bk3_ck2_quality_drop_last_window_wb16_fit__042215,10,books,group,500,0.884,"{""1"": 442, ""0"": 58}",0.896,0.700405604719764,0.7505126452494874,0.6715556249024809,,,0.0068950653076171875,0.0,0.0,
2026-01-28 04:22:15,BE_temporary__quality_drop_acc_th0.1_bk3_ck2_quality_drop_last_window_wb16_fit__042215,11,books,group,500,0.882,"{""1"": 441, ""0"": 59}",0.902,0.7202908974666347,0.7779106858054226,0.6875168146354587,,,0.007997274398803711,0.0,0.0,
2026-01-28 04:22:15,BE_temporary__quality_drop_acc_th0.1_bk3_ck2_quality_drop_last_window_wb16_fit__042215,12,books,group,500,0.914,"{""1"": 457, ""0"": 43}",0.886,0.5891891891891892,0.6043002136752137,0.5794870490051397,,,0.007998228073120117,0.015625,195.3557695173935,
2026-01-28 04:22:15,BE_temporary__quality_drop_acc_th0.1_bk3_ck2_quality_drop_last_window_wb16_fit__042215,13,electronics,group,500,0.81,"{""0"": 95, ""1"": 405}",0.822,0.6281720268384594,0.7073365231259968,0.6081221572449642,,,0.004998207092285156,0.0,0.0,
2026-01-28 04:22:15,BE_temporary__quality_drop_acc_th0.1_bk3_ck2_quality_drop_last_window_wb16_fit__042215,14,electronics,group,500,0.782,"{""1"": 391, ""0"": 109}",0.77,0.5743231738464158,0.6251717032967032,0.5684201881789812,,,0.0059986114501953125,0.0,0.0,
2026-01-28 04:22:15,BE_temporary__quality_drop_acc_th0.1_bk3_ck2_quality_drop_last_window_wb16_fit__042215,15,electronics,group,500,0.804,"{""1"": 402, ""0"": 98}",0.78,0.5778453225261735,0.6108429858429858,0.5699563407452534,,,0.005002737045288086,0.0,0.0,
2026-01-28 04:22:15,BE_temporary__quality_drop_acc_th0.1_bk3_ck2_quality_drop_last_window_wb16_fit__042215,16,electronics,group,500,0.814,"{""1"": 407, ""0"": 93}",0.848,0.7356043527872868,0.749963169215357,0.7241288209030144,,,0.0059986114501953125,0.015625,260.47694753577105,
2026-01-28 04:22:15,BE_temporary__quality_drop_acc_th0.1_bk3_ck2_quality_drop_last_window_wb16_fit__042215,17,electronics,group,500,0.786,"{""1"": 393, ""0"": 107}",0.81,0.7085442552538733,0.7159356279825363,0.7023019666595325,,,0.006998777389526367,0.0,0.0,
